sheet,row,sku,issue,current,suggested
PRICE_ABRIL_CLEAN,2,ABR-0001,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,3,ABR-0002,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,4,ABR-0003,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,5,ABR-0004,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,6,ABR-0005,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,7,ABR-0006,Extract volume from name,,120 ml
PRICE_ABRIL_CLEAN,8,ABR-0007,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,9,ABR-0008,Extract volume from name,,120 ml
PRICE_ABRIL_CLEAN,10,ABR-0009,Extract volume from name,,60 ml
PRICE_ABRIL_CLEAN,11,ABR-0010,Extract volume from name,,500 g
PRICE_ABRIL_CLEAN,12,ABR-0011,Extract volume from name,,500 ml
PRICE_ABRIL_CLEAN,13,ABR-0012,Extract volume from name,,200 ml
PRICE_ABRIL_CLEAN,14,ABR-0013,Normalize product name,ABRIL Термозахист  PROTECTOR PLEX STOP BREAKAGE 200 мл,ABRIL Термозахист PROTECTOR PLEX STOP BREAKAGE 200 мл
PRICE_ABRIL_CLEAN,14,ABR-0013,Extract volume from name,,200 ml
PRICE_ABRIL_CLEAN,15,ABR-0014,Normalize product name,ABRIL Термозахист THERMAL PROTECTOR LISS  200 мл,ABRIL Термозахист THERMAL PROTECTOR LISS 200 мл
PRICE_ABRIL_CLEAN,15,ABR-0014,Extract volume from name,,200 ml
PRICE_ABRIL_CLEAN,16,ABR-0015,Extract volume from name,,100 ml
PRICE_ABRIL_CLEAN,17,ABR-0016,Normalize product name,ABRIL Маска MOLECULAR  1000 мл,ABRIL Маска MOLECULAR 1000 мл
PRICE_ABRIL_CLEAN,17,ABR-0016,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,18,ABR-0017,Normalize product name,ABRIL Маска MOLECULAR  200 мл,ABRIL Маска MOLECULAR 200 мл
PRICE_ABRIL_CLEAN,18,ABR-0017,Extract volume from name,,200 ml
PRICE_ABRIL_CLEAN,20,ABR-0019,Normalize product name,ABRIL Флюїд MOLECULAR  10 мл  (30 шт./уп.),ABRIL Флюїд MOLECULAR 10 мл (30 шт./уп.)
PRICE_ABRIL_CLEAN,20,ABR-0019,Extract volume from name,,10 ml
PRICE_ABRIL_CLEAN,21,ABR-0020,Normalize product name,ABRIL Флюїд MOLECULAR  100 мл  (12 шт./уп.),ABRIL Флюїд MOLECULAR 100 мл (12 шт./уп.)
PRICE_ABRIL_CLEAN,21,ABR-0020,Extract volume from name,,100 ml
PRICE_ABRIL_CLEAN,22,ABR-0021,Normalize product name,ABRIL Шампунь MOLECULAR  1000 мл,ABRIL Шампунь MOLECULAR 1000 мл
PRICE_ABRIL_CLEAN,22,ABR-0021,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,23,ABR-0022,Normalize product name,ABRIL Шампунь MOLECULAR  250 мл,ABRIL Шампунь MOLECULAR 250 мл
PRICE_ABRIL_CLEAN,23,ABR-0022,Extract volume from name,,250 ml
PRICE_ABRIL_CLEAN,24,ABR-0023,Extract volume from name,,200 ml
PRICE_ABRIL_CLEAN,25,ABR-0024,Extract volume from name,,100 ml
PRICE_ABRIL_CLEAN,26,ABR-0025,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,27,ABR-0026,Extract volume from name,,200 ml
PRICE_ABRIL_CLEAN,28,ABR-0027,Extract volume from name,,200 ml
PRICE_ABRIL_CLEAN,29,ABR-0028,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,30,ABR-0029,Extract volume from name,,250 ml
PRICE_ABRIL_CLEAN,31,ABR-0030,Extract volume from name,,100 ml
PRICE_ABRIL_CLEAN,32,ABR-0031,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,33,ABR-0032,Extract volume from name,,200 ml
PRICE_ABRIL_CLEAN,34,ABR-0033,Extract volume from name,,100 ml
PRICE_ABRIL_CLEAN,35,ABR-0034,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,36,ABR-0035,Extract volume from name,,250 ml
PRICE_ABRIL_CLEAN,37,ABR-0036,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,38,ABR-0037,Extract volume from name,,200 ml
PRICE_ABRIL_CLEAN,39,ABR-0038,Extract volume from name,,100 ml
PRICE_ABRIL_CLEAN,40,ABR-0039,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,41,ABR-0040,Extract volume from name,,250 ml
PRICE_ABRIL_CLEAN,42,ABR-0041,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,43,ABR-0042,Extract volume from name,,200 ml
PRICE_ABRIL_CLEAN,44,ABR-0043,Extract volume from name,,100 ml
PRICE_ABRIL_CLEAN,45,ABR-0044,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,46,ABR-0045,Extract volume from name,,250 ml
PRICE_ABRIL_CLEAN,47,ABR-0046,Normalize category,Догляд  REHYDRATION  зволоження волосся,Догляд REHYDRATION зволоження волосся
PRICE_ABRIL_CLEAN,47,ABR-0046,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,48,ABR-0047,Normalize category,Догляд  REHYDRATION  зволоження волосся,Догляд REHYDRATION зволоження волосся
PRICE_ABRIL_CLEAN,48,ABR-0047,Extract volume from name,,200 ml
PRICE_ABRIL_CLEAN,49,ABR-0048,Normalize category,Догляд  REHYDRATION  зволоження волосся,Догляд REHYDRATION зволоження волосся
PRICE_ABRIL_CLEAN,49,ABR-0048,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,50,ABR-0049,Normalize category,Догляд  REHYDRATION  зволоження волосся,Догляд REHYDRATION зволоження волосся
PRICE_ABRIL_CLEAN,50,ABR-0049,Extract volume from name,,250 ml
PRICE_ABRIL_CLEAN,51,ABR-0050,Normalize category,Догляд  NATUREPLEX  захист та відновлення,Догляд NATUREPLEX захист та відновлення
PRICE_ABRIL_CLEAN,51,ABR-0050,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,52,ABR-0051,Normalize product name,ABRIL Маска NATURPLEX  200 мл,ABRIL Маска NATURPLEX 200 мл
PRICE_ABRIL_CLEAN,52,ABR-0051,Normalize category,Догляд  NATUREPLEX  захист та відновлення,Догляд NATUREPLEX захист та відновлення
PRICE_ABRIL_CLEAN,52,ABR-0051,Extract volume from name,,200 ml
