sku,brand,name,category,volume,country,purchase_price,retail_price,my_retail,selected,source_sheet,source_row
ABR-0001,Abril,"ABRIL Окисник 1,2% 4 VOL 1000 мл",Окисники,1000 ml,Spain,395,790,711,no,PRICE_ABRIL_CLEAN,2
ABR-0002,Abril,ABRIL Окисник Special blonde 1000 мл,Окисники,1000 ml,Spain,510,1020,918,no,PRICE_ABRIL_CLEAN,3
ABR-0003,Abril,ABRIL Окисник 10 VOL 3% 1000мл,Окисники,1000 ml,Spain,395,790,711,no,PRICE_ABRIL_CLEAN,4
ABR-0004,Abril,ABRIL Окисник 20 VOL 6% 1000 мл,Окисники,1000 ml,Spain,395,790,711,no,PRICE_ABRIL_CLEAN,5
ABR-0005,Abril,ABRIL Окисник 25 VOL 7.5% OXY-PLEX 1000 мл,Окисники,1000 ml,Spain,420,840,756,no,PRICE_ABRIL_CLEAN,6
ABR-0006,Abril,ABRIL Окисник 25 VOL 7.5% OXY-PLEX 120 мл,Окисники,120 ml,Spain,145,260,260,no,PRICE_ABRIL_CLEAN,7
ABR-0007,Abril,ABRIL Окисник 30 VOL 9% 1000 мл,Окисники,1000 ml,Spain,420,840,756,no,PRICE_ABRIL_CLEAN,8
ABR-0008,Abril,ABRIL Крем осв. PLATINUM BLEACHING CREAM 120 мл,Засоби для знебарвлення,120 ml,Spain,585,1170,1053,no,PRICE_ABRIL_CLEAN,9
ABR-0009,Abril,ABRIL Крем знебарвлюючий PLATINUM BLEACHING CREAM 60 мл,Засоби для знебарвлення,60 ml,Spain,270,540,486,no,PRICE_ABRIL_CLEAN,10
ABR-0010,Abril,ABRIL Пудра знебарвлююча 9 рівнів BLONDE & BLONDE 500 г,Засоби для знебарвлення,500 g,Spain,1387,2400,2400,no,PRICE_ABRIL_CLEAN,11
ABR-0011,Abril,ABRIL Пудра осв. BLACK CARBON WHITE 500 мл,Засоби для знебарвлення,500 ml,Spain,1387,2400,2400,no,PRICE_ABRIL_CLEAN,12
