sku,brand,name,category,volume,country,purchase_price,retail_price,my_retail,selected,source_sheet,source_row
ABR-0012,Abril,ABRIL Спрей-термозахист THERMAL TREATMENT 200 мл,Термозахисти,200 ml,Spain,470,940,846,yes,PRICE_ABRIL_CLEAN,13
ABR-0013,Abril,ABRIL Термозахист PROTECTOR PLEX STOP BREAKAGE 200 мл,Термозахисти,200 ml,Spain,670,1340,1206,yes,PRICE_ABRIL_CLEAN,14
ABR-0014,Abril,ABRIL Термозахист THERMAL PROTECTOR LISS 200 мл,Термозахисти,200 ml,Spain,670,1340,1206,yes,PRICE_ABRIL_CLEAN,15
ABR-0015,Abril,ABRIL Блиск для волосся Shine Finish Molecular 100 мл,Серія MOLECULAR для відновлення волосся,100 ml,Spain,635,1270,1143,yes,PRICE_ABRIL_CLEAN,16
ABR-0026,Abril,ABRIL Маска CURLY Definition 200 мл,Серія CURL для кучерявого волосся,200 ml,Spain,790,1580,1422,yes,PRICE_ABRIL_CLEAN,27
ABR-0027,Abril,ABRIL Спрей для формування локонів CURLY Definition 200 мл,Серія CURL для кучерявого волосся,200 ml,Spain,810,1620,1458,yes,PRICE_ABRIL_CLEAN,28
ABR-0028,Abril,ABRIL Шампунь CURLY Definition 1000 мл,Серія CURL для кучерявого волосся,1000 ml,Spain,1860,3720,3348,yes,PRICE_ABRIL_CLEAN,29
ABR-0029,Abril,ABRIL Шампунь CURLY Definition 250 мл,Серія CURL для кучерявого волосся,250 ml,Spain,620,1240,1116,yes,PRICE_ABRIL_CLEAN,30
ABR-0031,Abril,ABRIL Маска Extra Volume 1000ml,Серія VOLUME для об'єму,1000 ml,Spain,1860,3720,3348,yes,PRICE_ABRIL_CLEAN,32
ABR-0032,Abril,ABRIL Маска Extra Volume 200ml,Серія VOLUME для об'єму,200 ml,Spain,790,1580,1422,yes,PRICE_ABRIL_CLEAN,33
ABR-0034,Abril,ABRIL Шампунь-кондиціонер Extra Volume 1000ml,Серія VOLUME для об'єму,1000 ml,Spain,1860,3720,3348,yes,PRICE_ABRIL_CLEAN,35
ABR-0035,Abril,ABRIL Шампунь-кондиціонер Extra Volume 250ml,Серія VOLUME для об'єму,250 ml,Spain,620,1240,1116,yes,PRICE_ABRIL_CLEAN,36
ABR-0041,Abril,ABRIL Маска KERATIN 1000 мл,Серія KERATIN д/пошкодженного волосся,1000 ml,Spain,1590,3180,2862,yes,PRICE_ABRIL_CLEAN,42
ABR-0042,Abril,ABRIL Маска KERATIN 200 мл,Серія KERATIN д/пошкодженного волосся,200 ml,Spain,575,1150,1035,yes,PRICE_ABRIL_CLEAN,43
ABR-0043,Abril,ABRIL Сироватка KERATIN 100 мл,Серія KERATIN д/пошкодженного волосся,100 ml,Spain,620,1240,1116,yes,PRICE_ABRIL_CLEAN,44
ABR-0044,Abril,ABRIL Шампунь KERATIN 1000 мл,Серія KERATIN д/пошкодженного волосся,1000 ml,Spain,1440,2880,2592,yes,PRICE_ABRIL_CLEAN,45
ABR-0045,Abril,ABRIL Шампунь KERATIN 250 мл,Серія KERATIN д/пошкодженного волосся,250 ml,Spain,555,1110,999,yes,PRICE_ABRIL_CLEAN,46
ABR-0046,Abril,ABRIL Маска REHYDRATION 1000 мл,Догляд REHYDRATION зволоження волосся,1000 ml,Spain,1450,2900,2610,yes,PRICE_ABRIL_CLEAN,47
ABR-0047,Abril,ABRIL Маска REHYDRATION 200 мл,Догляд REHYDRATION зволоження волосся,200 ml,Spain,565,1130,1017,yes,PRICE_ABRIL_CLEAN,48
ABR-0048,Abril,ABRIL Шампунь REHYDRATION 1000 мл,Догляд REHYDRATION зволоження волосся,1000 ml,Spain,1450,2900,2610,yes,PRICE_ABRIL_CLEAN,49
ABR-0049,Abril,ABRIL Шампунь REHYDRATION 250 мл,Догляд REHYDRATION зволоження волосся,250 ml,Spain,565,1130,1017,yes,PRICE_ABRIL_CLEAN,50
ABR-0050,Abril,ABRIL Маска NATURPLEX 1000 мл,Догляд NATUREPLEX захист та відновлення,1000 ml,Spain,2475,4950,4455,yes,PRICE_ABRIL_CLEAN,51
ABR-0051,Abril,ABRIL Маска NATURPLEX 200 мл,Догляд NATUREPLEX захист та відновлення,200 ml,Spain,685,1370,1233,yes,PRICE_ABRIL_CLEAN,52
ABR-0052,Abril,ABRIL Мус NATURPLEX 100 мл,Догляд NATUREPLEX захист та відновлення,100 ml,Spain,1175,2350,2115,yes,PRICE_ABRIL_CLEAN,53
ABR-0053,Abril,ABRIL Сироватка FINAL TOUCH 100 мл,Догляд NATUREPLEX захист та відновлення,100 ml,Spain,715,1430,1287,yes,PRICE_ABRIL_CLEAN,54
ABR-0054,Abril,ABRIL Шампунь NATURPLEX 1000 мл,Догляд NATUREPLEX захист та відновлення,1000 ml,Spain,1620,3240,2916,yes,PRICE_ABRIL_CLEAN,55
ABR-0055,Abril,ABRIL Шампунь NATURPLEX 250 мл,Догляд NATUREPLEX захист та відновлення,250 ml,Spain,565,1130,1017,yes,PRICE_ABRIL_CLEAN,56
ABR-0056,Abril,ABRIL Маска ENERGIC 1000 мл,Догляд ENERGIC д/пошкодж.волосся,1000 ml,Spain,1450,2900,2610,yes,PRICE_ABRIL_CLEAN,57
